GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Apache Commons Codec,org.apache.commons.codec.language,MatchRatingApproachEncoder,0,649,0,76,0,114,0,51,0,13
Apache Commons Codec,org.apache.commons.codec.language,ColognePhonetic,2,502,4,78,1,82,4,46,0,8
Apache Commons Codec,org.apache.commons.codec.language,ColognePhonetic.CologneBuffer,0,44,0,0,0,11,0,4,0,4
Apache Commons Codec,org.apache.commons.codec.language,Metaphone,4,713,14,146,2,166,14,87,0,12
Apache Commons Codec,org.apache.commons.codec.language,DaitchMokotoffSoundex.new Comparator() {...},0,9,0,0,0,2,0,2,0,2
Apache Commons Codec,org.apache.commons.codec.language,SoundexUtils,0,92,0,18,0,21,0,13,0,4
Apache Commons Codec,org.apache.commons.codec.language,DoubleMetaphone,39,3085,39,399,7,409,37,232,0,39
Apache Commons Codec,org.apache.commons.codec.language,DaitchMokotoffSoundex.Branch,4,119,3,17,2,28,3,14,0,7
Apache Commons Codec,org.apache.commons.codec.language,Soundex,8,269,2,32,3,56,4,26,2,11
Apache Commons Codec,org.apache.commons.codec.language,Caverphone,38,0,2,0,9,0,6,0,5,0
Apache Commons Codec,org.apache.commons.codec.language,AbstractCaverphone,0,24,0,2,0,6,0,4,0,3
Apache Commons Codec,org.apache.commons.codec.language,DoubleMetaphone.DoubleMetaphoneResult,0,153,0,12,0,37,0,18,0,12
Apache Commons Codec,org.apache.commons.codec.language,Caverphone2,0,316,0,4,0,64,0,4,0,2
Apache Commons Codec,org.apache.commons.codec.language,ColognePhonetic.CologneInputBuffer,19,45,0,0,3,11,1,5,1,5
Apache Commons Codec,org.apache.commons.codec.language,DaitchMokotoffSoundex,81,542,13,75,7,124,13,41,0,10
Apache Commons Codec,org.apache.commons.codec.language,Caverphone1,0,301,0,4,0,61,0,4,0,2
Apache Commons Codec,org.apache.commons.codec.language,DaitchMokotoffSoundex.Rule,28,77,0,16,2,16,1,13,1,5
Apache Commons Codec,org.apache.commons.codec.language,Nysiis,0,464,0,74,0,86,0,46,0,9
Apache Commons Codec,org.apache.commons.codec.language,RefinedSoundex,0,125,1,13,0,36,1,15,0,9
Apache Commons Codec,org.apache.commons.codec.language,ColognePhonetic.CologneOutputBuffer,0,33,0,0,0,9,0,3,0,3
Apache Commons Codec,org.apache.commons.codec.cli,Digest,279,0,32,0,53,0,26,0,10,0
Apache Commons Codec,org.apache.commons.codec.digest,HmacUtils,61,415,0,6,18,77,7,54,7,51
Apache Commons Codec,org.apache.commons.codec.digest,Sha2Crypt,27,800,4,38,4,130,4,26,0,9
Apache Commons Codec,org.apache.commons.codec.digest,PureJavaCrc32,0,8509,0,10,0,27,0,15,0,7
Apache Commons Codec,org.apache.commons.codec.digest,XXHash32,119,313,8,12,21,62,10,10,2,8
Apache Commons Codec,org.apache.commons.codec.digest,Crypt,0,50,0,8,0,13,0,9,0,5
Apache Commons Codec,org.apache.commons.codec.digest,PureJavaCrc32C,137,8364,7,3,9,26,8,6,1,5
Apache Commons Codec,org.apache.commons.codec.digest,Md5Crypt,0,375,0,26,0,69,0,24,0,11
Apache Commons Codec,org.apache.commons.codec.digest,B64,0,72,0,4,0,13,0,7,0,5
Apache Commons Codec,org.apache.commons.codec.digest,UnixCrypt,6,5949,1,27,1,150,2,26,1,13
